Nome da Clínica;Telefone;Website Atual;Endereço;Avaliação;Link Google Maps
Voyah Clinic | Odontologia em Salvador;(71) 99998-4986;https://voyahclinic.com.br/;Avenida Tancredo Neves. 2539, edificio CEO, sala 1807/1808, torre nova iorque - Caminho das Árvores, Salvador - BA, 41820-021;5,0;https://www.google.com/maps/place/Voyah+Clinic+%7C+Odontologia+em+Salvador/data=!4m7!3m6!1s0x7161b9fa2864377:0x8617c1473cc0c231!8m2!3d-12.979289!4d-38.4520103!16s%2Fg%2F11zhm1kyd9!19sChIJd0OGop8bFgcRMcLAPEfBF4Y?authuser=0&hl=pt-BR&rclk=1
Dentista Salvador - Ornatti;(71) 99955-4347;http://dentistisalvador.com/?utm_source=gmb&utm_medium=referral;R. Edístio Pondé, sala 806 - STIEP, Salvador - BA, 41770-395;5,0;https://www.google.com/maps/place/Dentista+Salvador+-+Ornatti/data=!4m7!3m6!1s0x7161bca06f5f01b:0x9885646c82b4ddc6!8m2!3d-12.9839367!4d-38.4501225!16s%2Fg%2F11rd5hh6xl!19sChIJG_D1BsobFgcRxt20gmxkhZg?authuser=0&hl=pt-BR&rclk=1
Cliodonto;(71) 3431-2428;Não listado;Térreo, R. Escritor Édison Carneiro, n 73 - Pernambués, Salvador - BA, 41130-010;5,0;https://www.google.com/maps/place/Cliodonto/data=!4m7!3m6!1s0x7161ae15fc03a81:0xb0fc8fb3b69cfcdf!8m2!3d-12.9692587!4d-38.4587665!16s%2Fg%2F1ptw9pm9t!19sChIJgTrAX-EaFgcR3_yctrOP_LA?authuser=0&hl=pt-BR&rclk=1
Clínica Adente;(71) 99323-0358;Não listado;Condomínio Edifício Fernandez - Av. Sete de Setembro, 302 - Sala 406 a 410, 4° andar - Centro, Salvador - BA, 40020-455;4,9;https://www.google.com/maps/place/Cl%C3%ADnica+Adente/data=!4m7!3m6!1s0x71605fe508d2791:0x853420f9a7289732!8m2!3d-12.9801883!4d-38.5145551!16s%2Fg%2F11h0b1r4tn!19sChIJkSeNUP4FFgcRMpcop_kgNIU?authuser=0&hl=pt-BR&rclk=1
Clínica Odontológica LAVID;(71) 98329-4818;http://www.clinicalavid.com.br/;Torre East Wall Street Empresarial - Av. Luís Viana Filho, 6462 - sala 323 - Paralela, Salvador - BA, 41730-101;5,0;https://www.google.com/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+LAVID/data=!4m7!3m6!1s0x716114fe6c4673f:0x357b7fb2943ba9a5!8m2!3d-12.9399762!4d-38.4125654!16s%2Fg%2F11q23jxfpq!19sChIJP2fE5k8RFgcRpak7lLJ_ezU?authuser=0&hl=pt-BR&rclk=1
Easydente Odontologia Especializada em Ondina, Salvador;(71) 98116-2657;https://www.easydente.com.br/;Ed. Centro Médico Garibaldi - Av. Anita Garibaldi, 1555 - SL 208 - Federação, Salvador - BA, 40210-902;5,0;https://www.google.com/maps/place/Easydente+Odontologia+Especializada+em+Ondina,+Salvador/data=!4m7!3m6!1s0x716054960376673:0x29d44d3d743daf30!8m2!3d-13.0020163!4d-38.503182!16s%2Fg%2F11j3rrs88f!19sChIJc2Y3YEkFFgcRMK89dD1N1Ck?authuser=0&hl=pt-BR&rclk=1
Easydente Odontologia Especializada em Ondina, Salvador;(71) 98116-2657;https://www.easydente.com.br/;Ed. Centro Médico Garibaldi - Av. Anita Garibaldi, 1555 - SL 208 - Federação, Salvador - BA, 40210-902;5,0;https://www.google.com/maps/place/Easydente+Odontologia+Especializada+em+Ondina,+Salvador/data=!4m7!3m6!1s0x716054960376673:0x29d44d3d743daf30!8m2!3d-13.002016!4d-38.503182!16s%2Fg%2F11j3rrs88f!19sChIJc2Y3YEkFFgcRMK89dD1N1Ck?authuser=0&hl=pt-BR&rclk=1
Sua Dentista em casa - Odontologia Domiciliar;N/A;https://suadentistaemcasa.com.br/;Centro Empresarial Itaigara Sul, 5º - Av. Antônio Carlos Magalhães, 429 - andar, sala 510 - Itaigara, Salvador - BA, 41925-000;5,0;https://www.google.com/maps/place/Sua+Dentista+em+casa+-+Odontologia+Domiciliar/data=!4m7!3m6!1s0x7161bb28b6ce633:0x69021acc2b72f2c5!8m2!3d-12.998553!4d-38.4622637!16s%2Fg%2F11q8v4s4z0!19sChIJM-Zsi7IbFgcRxfJyK8waAmk?authuser=0&hl=pt-BR&rclk=1
Vitta Odontologia;(71) 98233-0767;https://www.vittaodontologia.com/;Av. Antônio Carlos Magalhães, 585 - bloco A, sala 1305 - Itaigara, Salvador - BA, 41825-000;4,7;https://www.google.com/maps/place/Vitta+Odontologia/data=!4m7!3m6!1s0x7161b6aa2ff77ed:0x272838d91ce1a22a!8m2!3d-12.998106!4d-38.4635524!16s%2Fg%2F11gnp46d1t!19sChIJ7Xf_omobFgcRKqLhHNk4KCc?authuser=0&hl=pt-BR&rclk=1
Dr.Leonardo Galvão;(71) 99668-8317;https://www.drleonardogalvao.com.br/;torre nova york - Av. Tancredo Neves, nº 2539 - sala 1203 - Caminho das Árvores, Salvador - BA, 41820-021;5,0;https://www.google.com/maps/place/Dr.Leonardo+Galv%C3%A3o/data=!4m7!3m6!1s0x7161bec391871bb:0x597832b0a3e2e7d1!8m2!3d-12.9791456!4d-38.463039!16s%2Fg%2F11ftxvp64d!19sChIJu3EYOewbFgcR0efio7AyeFk?authuser=0&hl=pt-BR&rclk=1
Implanteface - Odontologia Especializada;(71) 99626-6145;https://www.instagram.com/implanteface_odontoestetica?igsh=MXFuZmVvMWZhN2M0eg==;Galeria Jorge Amado - Av. Jorge Amado, 101A - Boca do Rio, Salvador - BA, 41705-001;5,0;https://www.google.com/maps/place/Implanteface+-+Odontologia+Especializada/data=!4m7!3m6!1s0x7161bd26d876b6f:0x1adec9ab3a9069eb!8m2!3d-12.9732502!4d-38.4198815!16s%2Fg%2F11xsrjflx8!19sChIJb2uHbdIbFgcR62mQOqvJ3ho?authuser=0&hl=pt-BR&rclk=1
Dr. André Cardoso;(71) 99989-0813;Não listado;Av. Anita Garibaldi,1133 CENTRO ODONTOMEDICO ITAMARATY, Sala 603 - Ondina, Salvador - BA, 40170-130;5,0;https://www.google.com/maps/place/Dr.+Andr%C3%A9+Cardoso/data=!4m7!3m6!1s0x71604c4102cccd5:0xaa8becde8148bd72!8m2!3d-12.9990064!4d-38.5054195!16s%2Fg%2F1tp0dw5t!19sChIJ1cwsEMQEFgcRcr1Igd7si6o?authuser=0&hl=pt-BR&rclk=1
Clínica Implanto;(71) 3358-8500;Não listado;R. Altino Serbeto de Barros, 119 - sala 1401 - Itaigara, Salvador - BA, 41830-907;5,0;https://www.google.com/maps/place/Cl%C3%ADnica+Implanto/data=!4m7!3m6!1s0x7161b428ea21f87:0x6c19fb7abe37a789!8m2!3d-12.9984248!4d-38.4643995!16s%2Fg%2F1trc54hp!19sChIJhx-ijkIbFgcRiac3vnr7GWw?authuser=0&hl=pt-BR&rclk=1
Dr. Remo Pace - Implantes, Próteses e Restauração Dentária em Salvador;(71) 99921-7446;Não listado;Av. Tancredo Neves, 909 - C. Das Árvores, Salvador - BA, 41820-021;5,0;https://www.google.com/maps/place/Dr.+Remo+Pace+-+Implantes,+Pr%C3%B3teses+e+Restaura%C3%A7%C3%A3o+Dent%C3%A1ria+em+Salvador/data=!4m7!3m6!1s0x7161b9c0ffb4697:0x4bf411bbb4a4bd35!8m2!3d-12.9788323!4d-38.458235!16s%2Fg%2F11yqf4s5y8!19sChIJl0b7D5wbFgcRNb2ktLsR9Es?authuser=0&hl=pt-BR&rclk=1
Dra Itana Andrade - Perioclinic Odontologia;(71) 99139-5762;Não listado;Emp Brotas Master - Av. Dom João VI, 2082 - sala 209 - Brotas, Salvador - BA, 40285-000;5,0;https://www.google.com/maps/place/Dra+Itana+Andrade+-+Perioclinic+Odontologia/data=!4m7!3m6!1s0x716059703c2961b:0xa4c4466e37ef7035!8m2!3d-12.9894534!4d-38.4822892!16s%2Fg%2F11ddx6xf7h!19sChIJG5bCA5cFFgcRNXDvN25GxKQ?authuser=0&hl=pt-BR&rclk=1
Optical Dental Clinic | Consultório Odontológico | Clínica Dental;(71) 98633-8197;https://opticalodonto.com.br/;Av. Prof. Magalhães Neto, 1450 - Sala 608 - Pituba, Salvador - BA, 41810-012;5,0;https://www.google.com/maps/place/Optical+Dental+Clinic+%7C+Consult%C3%B3rio+Odontol%C3%B3gico+%7C+Cl%C3%ADnica+Dental/data=!4m7!3m6!1s0x7161b1c4ff0ea13:0xedfba63d1d6f329e!8m2!3d-12.987762!4d-38.4496637!16s%2Fg%2F11h6pyqv8s!19sChIJE-rwTxwbFgcRnjJvHT2m--0?authuser=0&hl=pt-BR&rclk=1
BrisaOdonto - Protocolo sobre Implantes | Implante Dentário | Dentista no Imbuí;(71) 99697-6783;https://api.whatsapp.com/message/CXEMJVPVIJLRB1?autoload=1&app_absent=0;R. dos Colibrís, 79 - sala 204 - Imbuí, Salvador - BA, 41720-060;5,0;https://www.google.com/maps/place/BrisaOdonto+-+Protocolo+sobre+Implantes+%7C+Implante+Dent%C3%A1rio+%7C+Dentista+no+Imbu%C3%AD/data=!4m7!3m6!1s0x7161b123a9fc26f:0xd564dc6b0d2dd00b!8m2!3d-12.9703861!4d-38.4386351!16s%2Fg%2F11qbs92kty!19sChIJb8KfOhIbFgcRC9AtDWvcZNU?authuser=0&hl=pt-BR&rclk=1
Bio Odonto Barra | Clínica Odontológica;(71) 98477-0143;https://barra.clinicabioodonto.com.br/;R. Dias d'Ávila, 96 - Barra, Salvador - BA, 40140-270;5,0;https://www.google.com/maps/place/Bio+Odonto+Barra+%7C+Cl%C3%ADnica+Odontol%C3%B3gica/data=!4m7!3m6!1s0x716038b9def8687:0x9d22ae4df566e8c7!8m2!3d-13.0091356!4d-38.5308264!16s%2Fg%2F11zklmtpkt!19sChIJh4bvnYsDFgcRx-hm9U2uIp0?authuser=0&hl=pt-BR&rclk=1
IMPLO;(71) 98189-1049;Não listado;Ed. Complexo Odontomedico - Av. Antônio Carlos Magalhães, 585 - Itaigara, Salvador - BA, 41825-000;4,8;https://www.google.com/maps/place/IMPLO/data=!4m7!3m6!1s0x7161b40ffffffff:0xbd325df2096431a!8m2!3d-12.9981479!4d-38.4635581!16s%2Fg%2F1tyt5k01!19sChIJ_____0AbFgcRGkOWIN8l0ws?authuser=0&hl=pt-BR&rclk=1
Novaface Clínica Odontológica;(71) 98102-7919;https://novafaceclinicaodontologica.systeme.io/siteoficial;Edf. Citibank - R. Miguel Calmon, 555 - sala 712 - Comércio, Salvador - BA, 40010-020;5,0;https://www.google.com/maps/place/Novaface+Cl%C3%ADnica+Odontol%C3%B3gica/data=!4m7!3m6!1s0x7161b68ac9587f1:0xdceed2d4c51f1fa2!8m2!3d-12.9691066!4d-38.5104328!16s%2Fg%2F1q5gkx6nb!19sChIJ8YeVrGgbFgcRoh8fxdTS7tw?authuser=0&hl=pt-BR&rclk=1
Avanço Odontologia Moderna;(71) 99205-1474;Não listado;edf. Thomé de Souza - Av. Antônio Carlos Magalhães, 3244 - Sala 620 - Caminho das Árvores, Salvador - BA, 41820-000;4,9;https://www.google.com/maps/place/Avan%C3%A7o+Odontologia+Moderna/data=!4m7!3m6!1s0x7161b2b503592c5:0x7ef8956ccd8120e9!8m2!3d-12.9878908!4d-38.4667412!16s%2Fg%2F11rqch5_hc!19sChIJxZI1UCsbFgcR6SCBzWyV-H4?authuser=0&hl=pt-BR&rclk=1
Idealiza Odontologia Premium;(71) 99606-2116;https://idealizaodontologia.com.br/;Torre Londres - Av. Tancredo Neves, 2539 - Sala 2116 - Caminho das Árvores, Salvador - BA, 41820-021;5,0;https://www.google.com/maps/place/Idealiza+Odontologia+Premium/data=!4m7!3m6!1s0x7161b361a71ffaf:0x1581bc4983da0592!8m2!3d-12.9794368!4d-38.4522807!16s%2Fg%2F11wvyr44pf!19sChIJr_9xGjYbFgcRkgXag0m8gRU?authuser=0&hl=pt-BR&rclk=1
Clínica Spazio Boutique Oral - Odontologia em Salvador;(71) 99954-1122;https://spazioboutiqueoral.com.br/;Torre Nova Iorque - Av. Tancredo Neves, 2539 - sl 1808 - Caminho das Árvores, Salvador - BA, 41820-021;4,9;https://www.google.com/maps/place/Cl%C3%ADnica+Spazio+Boutique+Oral+-+Odontologia+em+Salvador/data=!4m7!3m6!1s0x7161b828680b5b7:0x829cae6736f3ef08!8m2!3d-12.9795879!4d-38.4521893!16s%2Fg%2F11j4sgrg3r!19sChIJt7WAhoIbFgcRCO_zNmeunII?authuser=0&hl=pt-BR&rclk=1
